Unnamed: 0,tweet_id,text,favorite_count,retweet_count,created_at,tweetos,text_lem,sentiment_compound_polarity,sentiment_neutral,sentiment_negative,sentiment_pos,sentiment_type
21,1.28726E+18,Testing delays make the pandemic worse. #Covid_19,0,0,Sun Jul 26 05:27:34 +0000 2020,other,Testing delays make the pandemic worse   Covid,-0.4767,0.659,0.341,0,NEGATIVE
22,1.28726E+18,"RT Single-day spike of 48,661 COVID-19 cases, 705 fatalities pushes India's caseload to 13,85,522, death toll to 32,063 #coron…",0,6,Sun Jul 26 05:27:26 +0000 2020,other,Single day spike of        COVID    cases      fatalities pushes India s caseload to            death toll to         coron,-0.8316,0.642,0.358,0,NEGATIVE
28,1.28726E+18,"RT Just 24 hours left for event on #WorldHepatitisDay. There will be discussions on immunization for Hepatitis B, ad…",0,2,Sun Jul 26 05:27:06 +0000 2020,other,Just    hours left for event on  WorldHepatitisDay  There will be discussions on immunization for Hepatitis B  ad,0,1,0,0,NEUTRAL
29,1.28726E+18,"RT Active COVID-19 cases in country stand at 4,67,882, while 8,85,576 people have recovered:Union Health Ministry",0,38,Sun Jul 26 05:27:03 +0000 2020,other,Active COVID    cases in country stand at           while          people have recovered Union Health Ministry,0.4019,0.838,0,0.162,POSITIVE
31,1.28726E+18,"एंबुलेंस चालक ने 6 किलोमीटर दूर अस्पताल पहुंचाने के लिए Covid-19 मरीजों से मांगे 9,200 रुपये",1,0,Sun Jul 26 05:26:48 +0000 2020,other,Covid,0,1,0,0,NEUTRAL
34,1.28726E+18,Just 24 hours left for event on #WorldHepatitisDay. There will be discussions on immunization for Hepat…,4,2,Sun Jul 26 05:26:37 +0000 2020,other,Just    hours left for event on  WorldHepatitisDay  There will be discussions on immunization for Hepat,0,1,0,0,NEUTRAL
35,1.28726E+18,"Coronavirus Live: देश में एक दिन में मिले 48,661 नए पॉजिटिव केस, 705 की हुई मौत #CoronaVirusUpdates | #COVID__19",8,0,Sun Jul 26 05:26:36 +0000 2020,other,Coronavirus Live                                                                 CoronaVirusUpdates    COVID,0,1,0,0,NEUTRAL
39,1.28726E+18,Me:- God🙏ye COVID-19 mere Birthday se pehle khatam ho jayega naa?🥺 God:-,1,0,Sun Jul 26 05:25:59 +0000 2020,other,Me   God ye COVID    mere Birthday se pehle khatam ho jayega naa   God,0.4939,0.724,0,0.276,POSITIVE
43,1.28726E+18,"RT With 29,557 patients recovered, India records its highest-ever COVID-19 recoveries in a single day. #IndiaFightsCorona",0,60,Sun Jul 26 05:25:34 +0000 2020,other,With        patients recovered  India records its highest ever COVID    recoveries in a single day   IndiaFightsCorona,0,1,0,0,NEUTRAL
44,1.28726E+18,"RT Chief justice of #Chhatisgarh High Court sends Rs 10,000 to a lawyer, who has been forced to go back to his village &amp; w…",0,201,Sun Jul 26 05:25:23 +0000 2020,other,Chief justice of  Chhatisgarh High Court sends Rs        to a lawyer  who has been forced to go back to his village  amp  w,0.1027,0.758,0.114,0.129,POSITIVE
45,1.28726E+18,RT Bihar losing to Covid-19 due to state govt ‘apathy’ - The Sunday Guardian,0,3,Sun Jul 26 05:25:05 +0000 2020,other,Bihar losing to Covid    due to state govt  apathy    The Sunday Guardian,-0.5859,0.696,0.304,0,NEGATIVE
46,1.28726E+18,RT Wearing a mask while stepping out is the #NewNormal! Take all the necessary precautionary measures to stay safe from COVID-…,0,95,Sun Jul 26 05:25:00 +0000 2020,other,Wearing a mask while stepping out is the  NewNormal  Take all the necessary precautionary measures to stay safe from COVID,0.4404,0.868,0,0.132,POSITIVE
47,1.28726E+18,"Everyone should recite Hanuman Chalisa, it is indeed very powerful speaking from personal experience😊🙏 Making…",0,0,Sun Jul 26 05:24:57 +0000 2020,@ndtv,Everyone should recite Hanuman Chalisa  it is indeed very powerful speaking from personal experience   Making,0.4754,0.819,0,0.181,POSITIVE
49,1.28726E+18,"RT #Update -We have filed an Additional Affidavit in SC Today -Distinguished NSUI PIL from our #UGC Petition, on many co…",0,1407,Sun Jul 26 05:24:36 +0000 2020,other,Update  We have filed an Additional Affidavit in SC Today  Distinguished NSUI PIL from our  UGC Petition  on many co,0,1,0,0,NEUTRAL
51,1.28726E+18,"RT Single-day spike of 48,661 COVID-19 cases, 705 fatalities pushes India's caseload to 13,85,522, death toll to 32,063:Govt",0,36,Sun Jul 26 05:24:08 +0000 2020,other,Single day spike of        COVID    cases      fatalities pushes India s caseload to            death toll to        Govt,-0.8316,0.642,0.358,0,NEGATIVE
52,1.28726E+18,RT Sir please cancel the compartment exams because COVID-19 is increasing fast day…,0,14,Sun Jul 26 05:24:05 +0000 2020,other,Sir please cancel the compartment exams because COVID    is increasing fast day,0.0772,0.719,0.131,0.15,POSITIVE
53,1.28726E+18,RT Wondering how to buy groceries safely during the COVID-19 pandemic? Fret not! Watch this video to know about the #NewNormal…,0,37,Sun Jul 26 05:24:04 +0000 2020,other,Wondering how to buy groceries safely during the COVID    pandemic  Fret not  Watch this video to know about the  NewNormal,0.4939,0.862,0,0.138,POSITIVE
54,1.28726E+18,RT Don’t let #FakeNews divert your mind in the wrong direction. Follow the official sources only for everything you need to kn…,0,42,Sun Jul 26 05:23:51 +0000 2020,other,Don t let  FakeNews divert your mind in the wrong direction  Follow the official sources only for everything you need to kn,-0.4767,0.871,0.129,0,NEGATIVE
55,1.28726E+18,RT 1⃣ day to go for the upcoming #Parishad w/t Join the discussion w/t,0,3,Sun Jul 26 05:23:50 +0000 2020,other,day to go for the upcoming  Parishad w t Join the discussion w t,0.296,0.82,0,0.18,POSITIVE
56,1.28726E+18,"RT Covid-19: How higher educational institutes are coping, in Sunday Guardian Live by Prof. M. Jagadesh Kumar VC JNU#MHRD",0,1,Sun Jul 26 05:23:49 +0000 2020,other,Covid     How higher educational institutes are coping  in Sunday Guardian Live by Prof  M  Jagadesh Kumar VC JNU MHRD,0,1,0,0,NEUTRAL
58,1.28726E+18,Young Doctor dying ! Raising the alarm of #COVID__19 . God give solace to this fighter. RIP young fighter Doctor…,0,0,Sun Jul 26 05:23:30 +0000 2020,other,Young Doctor dying   Raising the alarm of  COVID       God give solace to this fighter  RIP young fighter Doctor,0.296,0.636,0.109,0.255,POSITIVE
61,1.28726E+18,RT A 3-member Central team sent to Bihar was ‘aghast’ at what it saw in the state. My report on the…,0,7,Sun Jul 26 05:23:11 +0000 2020,other,A   member Central team sent to Bihar was  aghast  at what it saw in the state  My report on the,-0.4404,0.868,0.132,0,NEGATIVE
65,1.28726E+18,RT Instructions for Care-Givers on hand hygiene while handling people in home isolation with mild symptoms/Asymptomatic COVID-…,0,42,Sun Jul 26 05:22:53 +0000 2020,other,Instructions for Care Givers on hand hygiene while handling people in home isolation with mild symptoms Asymptomatic COVID,0.7506,0.56,0.101,0.34,POSITIVE
69,1.28726E+18,"RT ""India tests 4.2 L samples for Covid-19 in 24 hrs, testing capacity at all-time high"" #IndiaFightsCorona",0,6,Sun Jul 26 05:22:19 +0000 2020,other,India tests     L samples for Covid    in    hrs  testing capacity at all time high   IndiaFightsCorona,0,1,0,0,NEUTRAL
70,1.28726E+18,RT More good news about our joint fight against #Covid_19 - CPD launches #Israeli🇮🇱 disinfectant #technology in #India 🇮🇳,0,56,Sun Jul 26 05:22:18 +0000 2020,other,More good news about our joint fight against  Covid      CPD launches  Israeli   disinfectant  technology in  India,0.1513,0.721,0.125,0.154,POSITIVE
71,1.28726E+18,"RT ""India’s Covid-19 recovery rate now at 63.54%, case fatality count marks sharp dip"" #IndiaFightsCorona",0,6,Sun Jul 26 05:22:13 +0000 2020,other,India s Covid    recovery rate now at         case fatality count marks sharp dip   IndiaFightsCorona,-0.6705,0.743,0.257,0,NEGATIVE
73,1.28726E+18,Kim Jong-un declares emergency &amp; puts Kaesong City on total lockdown after 1st suspected Covid-19 case in North Kor…,0,0,Sun Jul 26 05:21:57 +0000 2020,other,Kim Jong un declares emergency  amp  puts Kaesong City on total lockdown after  st suspected Covid    case in North Kor,-0.5423,0.8,0.2,0,NEGATIVE
75,1.28726E+18,"Bihar’s Covid-19 tally rises by over 2,500, death toll at 232",1,0,Sun Jul 26 05:21:55 +0000 2020,other,Bihar s Covid    tally rises by over        death toll at,-0.5994,0.672,0.328,0,NEGATIVE
77,1.28726E+18,RT Over 10 cr free LPG cylinders delivered as Covid-19 relief via NaMo App,0,3,Sun Jul 26 05:21:53 +0000 2020,other,Over    cr free LPG cylinders delivered as Covid    relief via NaMo App,0.7506,0.632,0,0.368,POSITIVE
78,1.28726E+18,RT Uttar Pradesh CM Yogi Adityanath directs officials to enhance COVID-19 testing capacity to one lakh tests per day by Monday,0,270,Sun Jul 26 05:21:34 +0000 2020,other,Uttar Pradesh CM Yogi Adityanath directs officials to enhance COVID    testing capacity to one lakh tests per day by Monday,0,1,0,0,NEUTRAL
85,1.28726E+18,RT #JNU is leading the way for other HEIs by quickly responding to Covid-19 challenge with a number of initiatives in the…,0,1,Sun Jul 26 05:20:54 +0000 2020,other,JNU is leading the way for other HEIs by quickly responding to Covid    challenge with a number of initiatives in the,0.1531,0.88,0,0.12,POSITIVE
87,1.28726E+18,यह ज्ञान अपने #BJP Madhya Pradesh के मामा श्री CM शिवराज सिंह चौहान तक भिजवा दे। उनकी दवा दारू बंद करवा यह शुरू कर…,0,0,Sun Jul 26 05:20:29 +0000 2020,other,BJP Madhya Pradesh              CM,0,1,0,0,NEUTRAL
89,1.28726E+18,RT How to beat #Coronavirus fast: These elite contact tracers show how to stop #Covid19 spread without #Lockdown,0,1,Sun Jul 26 05:20:13 +0000 2020,other,How to beat  Coronavirus fast  These elite contact tracers show how to stop  Covid   spread without  Lockdown,-0.296,0.885,0.115,0,NEGATIVE
96,1.28726E+18,Dear You want us to assure you that we are in good health and have no travel history but you won’t…,0,0,Sun Jul 26 05:20:01 +0000 2020,other,Dear You want us to assure you that we are in good health and have no travel history but you won t,0.8422,0.531,0.057,0.412,POSITIVE
97,1.28726E+18,"RT brand is collaborating with to support clinical trials of mRNA-1273, Moderna’s #COVID19 #v…",0,1,Sun Jul 26 05:19:57 +0000 2020,other,brand is collaborating with to support clinical trials of mRNA       Moderna s  COVID    v,0.4019,0.816,0,0.184,POSITIVE
98,1.28726E+18,"India tests 4.2 L samples for Covid-19 in 24 hrs, testing capacity at all-time high via N…",0,0,Sun Jul 26 05:19:48 +0000 2020,other,India tests     L samples for Covid    in    hrs  testing capacity at all time high via N,0,1,0,0,NEUTRAL
99,1.28726E+18,RT Pls cancel the exam ....or take appropriate step with…,0,14,Sun Jul 26 05:19:43 +0000 2020,other,Pls cancel the exam     or take appropriate step with,-0.1779,0.708,0.177,0.115,NEGATIVE
100,1.28726E+18,"RT Centre allocates additional Rs 40,000 crore in #MGNREG Scheme in view of #COVID19Pandemic.",0,11,Sun Jul 26 05:19:35 +0000 2020,other,Centre allocates additional Rs        crore in  MGNREG Scheme in view of  COVID  Pandemic,0,1,0,0,NEUTRAL
102,1.28726E+18,Really team NEFOWA did whatever was the need of the time during the c…,0,0,Sun Jul 26 05:19:18 +0000 2020,@Mannnisssshhh,Really team NEFOWA did whatever was the need of the time during the c,0,1,0,0,NEUTRAL
103,1.28726E+18,"RT Covid-19: How higher educational institutes are coping: JNU, leading the way for other HEIs, has quickly responded to this…",0,8,Sun Jul 26 05:19:17 +0000 2020,other,Covid     How higher educational institutes are coping  JNU  leading the way for other HEIs  has quickly responded to this,0,1,0,0,NEUTRAL
104,1.28726E+18,"Shooting figures of Covid-19 cases indicate the negligence of the public towards practicing social distancing, wear…",0,0,Sun Jul 26 05:19:11 +0000 2020,other,Shooting figures of Covid    cases indicate the negligence of the public towards practicing social distancing  wear,0,1,0,0,NEUTRAL
105,1.28726E+18,"India’s Covid-19 recovery rate now at 63.54%, case fatality count marks sharp dip via NaM…",0,0,Sun Jul 26 05:18:58 +0000 2020,other,India s Covid    recovery rate now at         case fatality count marks sharp dip via NaM,-0.6705,0.743,0.257,0,NEGATIVE
109,1.28726E+18,"RT Aur papad khao, taali bajao, corona bhagao via",0,59,Sun Jul 26 05:18:13 +0000 2020,other,Aur papad khao  taali bajao  corona bhagao via,0,1,0,0,NEUTRAL
110,1.28726E+18,"RT Centre allocates additional Rs 40,000 cr in MGNREG Scheme in view of #COVID19 pandemic.",0,15,Sun Jul 26 05:18:12 +0000 2020,other,Centre allocates additional Rs        cr in MGNREG Scheme in view of  COVID   pandemic,0,1,0,0,NEUTRAL
111,1.28726E+18,"RT Centre allocates additional Rs 40,000 crore in MGNREG Scheme in view of COVID-19 pandemic",0,12,Sun Jul 26 05:18:10 +0000 2020,other,Centre allocates additional Rs        crore in MGNREG Scheme in view of COVID    pandemic,0,1,0,0,NEUTRAL
112,1.28726E+18,"RT 7,813 fresh COVID-19 positive cases recorded in Andhra Pradesh in last 24 hours",0,7,Sun Jul 26 05:18:04 +0000 2020,other,fresh COVID    positive cases recorded in Andhra Pradesh in last    hours,0.7096,0.629,0,0.371,POSITIVE
113,1.28726E+18,RT Meghalaya witnesses spike in COVID-19 cases with 59 fresh cases in a single day,0,8,Sun Jul 26 05:17:57 +0000 2020,other,Meghalaya witnesses spike in COVID    cases with    fresh cases in a single day,0.3182,0.839,0,0.161,POSITIVE
114,1.28726E+18,Pigs Roam Freely In Corridors Of COVID-19 Hospital In Karnataka … … … … … … via,0,0,Sun Jul 26 05:17:55 +0000 2020,other,Pigs Roam Freely In Corridors Of COVID    Hospital In Karnataka             via,0.4404,0.775,0,0.225,POSITIVE
115,1.28726E+18,RT Tamil Nadu crosses 2 lakh mark of COVID-19 cases,0,12,Sun Jul 26 05:17:55 +0000 2020,other,Tamil Nadu crosses   lakh mark of COVID    cases,0,1,0,0,NEUTRAL
116,1.28726E+18,BCCI president Sourav Ganguly has tested negative for COVID-19 after he gave his samples as a precautionary measure.,1,0,Sun Jul 26 05:17:39 +0000 2020,other,BCCI president Sourav Ganguly has tested negative for COVID    after he gave his samples as a precautionary measure,-0.5719,0.812,0.188,0,NEGATIVE
117,1.28726E+18,Mitigating the Effect of COVID-19 on MSMEs and Business Loans: Lawyers Advice,0,0,Sun Jul 26 05:17:38 +0000 2020,other,Mitigating the Effect of COVID    on MSMEs and Business Loans  Lawyers Advice,0,1,0,0,NEUTRAL
119,1.28726E+18,RT #Emergency #Delhi Need #plasma of B+ group from #Covid_19 recovered patient Patient Name: Mr Rakesh Gupta (63M) Hospital…,0,25,Sun Jul 26 05:17:28 +0000 2020,other,Emergency  Delhi Need  plasma of B  group from  Covid    recovered patient Patient Name  Mr Rakesh Gupta    M  Hospital,-0.3818,0.86,0.14,0,NEGATIVE
120,1.28726E+18,RT Super Hero to help migrant workers find employment through an app. Unsung Fighter of Covid-19 special edition…,0,197,Sun Jul 26 05:17:19 +0000 2020,other,Super Hero to help migrant workers find employment through an app  Unsung Fighter of Covid    special edition,0.926,0.473,0,0.527,POSITIVE
122,1.28726E+18,How the Covid-19 pandemic unfolded in Odisha,0,0,Sun Jul 26 05:16:55 +0000 2020,other,How the Covid    pandemic unfolded in Odisha,0,1,0,0,NEUTRAL
124,1.28726E+18,"RT 22/ As his most recent act of kindness, he donated 7500 PPE kits to the health workers fighting COVID-19.",0,10,Sun Jul 26 05:16:42 +0000 2020,other,As his most recent act of kindness  he donated      PPE kits to the health workers fighting COVID,0.128,0.744,0.116,0.14,POSITIVE
126,1.28726E+18,RT Secret Tool to get a job in covid-19? Part-3,0,2,Sun Jul 26 05:16:30 +0000 2020,other,Secret Tool to get a job in covid     Part,0,1,0,0,NEUTRAL
130,1.28726E+18,"RT आज महरौली, दक्षिण व नई दिल्ली ज़िले की vertual meeting हुई। जी मार्गदर्शन दिया।",0,11,Sun Jul 26 05:16:06 +0000 2020,other,vertual meeting,0,1,0,0,NEUTRAL
132,1.28726E+18,Government is completely failed to stop corona 😡. सरकार केवल बड़ी बड़ी बाते कर राही है लेकिन किया कुच्छ भी नहीं है।…,0,0,Sun Jul 26 05:15:52 +0000 2020,other,Government is completely failed to stop corona,-0.7233,0.452,0.548,0,NEGATIVE
136,1.28726E+18,They are not taking seriously COVID-19. Result is 49000 per day and more. Reach…,0,0,Sun Jul 26 05:15:27 +0000 2020,@INCUttarPradesh,They are not taking seriously COVID     Result is       per day and more  Reach,0.229,0.791,0,0.209,POSITIVE
138,1.28726E+18,"RT As India records over 49,000 new COVID-19 infections, the country inches closer to the 13 lakh confirmed case mark. Alla…",0,30,Sun Jul 26 05:15:14 +0000 2020,other,As India records over        new COVID    infections  the country inches closer to the    lakh confirmed case mark  Alla,0,1,0,0,NEUTRAL
140,1.28726E+18,"RT India reports over 48,000 new infections taking the confirmed case tally to 13.3 lakh. Madhya Pradesh CM Shivraj Singh C…",0,8,Sun Jul 26 05:14:56 +0000 2020,other,India reports over        new infections taking the confirmed case tally to      lakh  Madhya Pradesh CM Shivraj Singh C,0,1,0,0,NEUTRAL
141,1.28726E+18,Centre to draw plan for states to follow Delhi’s Covid-19 model. #IndiaFightsCorona,0,0,Sun Jul 26 05:14:51 +0000 2020,other,Centre to draw plan for states to follow Delhi s Covid    model   IndiaFightsCorona,0,1,0,0,NEUTRAL
142,1.28726E+18,"48,661 fresh cases, 705 deaths reported; total 13.85 lakh infections in India",0,0,Sun Jul 26 05:14:45 +0000 2020,other,fresh cases      deaths reported  total       lakh infections in India,0.3182,0.777,0,0.223,POSITIVE
143,1.28726E+18,BJP's hunger for power weakened India's fight against COVID-19. The MoSha duo was busy in horse trading and mopping…,47,33,Sun Jul 26 05:14:42 +0000 2020,other,BJP s hunger for power weakened India s fight against COVID     The MoSha duo was busy in horse trading and mopping,-0.7096,0.699,0.301,0,NEGATIVE
145,1.28725E+18,RT Please Cancel Compartment Exams 2020. Students can give projects or assignment w…,0,15,Sun Jul 26 05:14:25 +0000 2020,other,Please Cancel Compartment Exams       Students can give projects or assignment w,0.0772,0.677,0.15,0.173,POSITIVE
146,1.28725E+18,"See Samay, the centre itswlf its…",0,0,Sun Jul 26 05:14:09 +0000 2020,@monk_bold,See Samay  the centre itswlf its,0,1,0,0,NEUTRAL
147,1.28725E+18,UN Report: Terror group ISIS has upto 200 members in Kerala and Karnataka; Al-Qaida wing for Indian subcontinent pl…,17,6,Sun Jul 26 05:13:39 +0000 2020,other,UN Report  Terror group ISIS has upto     members in Kerala and Karnataka  Al Qaida wing for Indian subcontinent pl,-0.5267,0.841,0.159,0,NEGATIVE
148,1.28725E+18,RT Govt issues detailed guidelines regarding celebration of #IndependenceDay amidst #Covid_19 Independence Day celebrati…,0,42,Sun Jul 26 05:13:30 +0000 2020,other,Govt issues detailed guidelines regarding celebration of  IndependenceDay amidst  Covid    Independence Day celebrati,0,1,0,0,NEUTRAL
149,1.28725E+18,#JNU is leading the way for other HEIs by quickly responding to Covid-19 challenge with a number of initiatives in…,1,1,Sun Jul 26 05:13:27 +0000 2020,other,JNU is leading the way for other HEIs by quickly responding to Covid    challenge with a number of initiatives in,0.1531,0.867,0,0.133,POSITIVE
150,1.28725E+18,"RT JNU has introduced online submission of PhD and MPhil theses, aims to minimise human intervention and help the research sch…",0,24,Sun Jul 26 05:13:26 +0000 2020,other,JNU has introduced online submission of PhD and MPhil theses  aims to minimise human intervention and help the research sch,0.4019,0.881,0,0.119,POSITIVE
151,1.28725E+18,"According to city authorities, they have no means to track the activities of the missing patients and have they qua…",0,0,Sun Jul 26 05:13:25 +0000 2020,other,According to city authorities  they have no means to track the activities of the missing patients and have they qua,-0.5267,0.804,0.196,0,NEGATIVE
152,1.28725E+18,"RT South Africa locked down when India did but is now seeing a surge of Covid-19 cases like India is, and is now 5th in the…",0,3,Sun Jul 26 05:12:52 +0000 2020,other,South Africa locked down when India did but is now seeing a surge of Covid    cases like India is  and is now  th in the,0.5023,0.881,0,0.119,POSITIVE
155,1.28725E+18,"RT Dr. C Mohan Reddy, better known as Chennai's 10 Rupee Doctor who used to charge just Rs 10 from poor patients for medica…",0,6,Sun Jul 26 05:12:26 +0000 2020,other,Dr  C Mohan Reddy  better known as Chennai s    Rupee Doctor who used to charge just Rs    from poor patients for medica,-0.0516,0.76,0.124,0.116,NEGATIVE
157,1.28725E+18,Bihar Cabinet nod to ‘special family pension’ for dependents of govt staff who die of Covid-19,1,0,Sun Jul 26 05:11:55 +0000 2020,other,Bihar Cabinet nod to  special family pension  for dependents of govt staff who die of Covid,-0.296,0.68,0.189,0.131,NEGATIVE
159,1.28725E+18,"RT #cancelcompartmentexams2020 hello, sir plz cancel all cbse board compartment exam of class 10th-12th.because sir is time j…",0,15,Sun Jul 26 05:11:42 +0000 2020,other,cancelcompartmentexams     hello  sir plz cancel all cbse board compartment exam of class   th   th because sir is time j,-0.1779,0.837,0.099,0.064,NEGATIVE
160,1.28725E+18,"क्या देश मे 1975-77 वाला Emergency लग गया है क्या साहब जी कि अब नया नाटक ""लोकतंत्र की रक्षा"" की आवाज उ…",0,0,Sun Jul 26 05:11:30 +0000 2020,@RahulGandhi,Emergency,-0.3818,0,1,0,NEGATIVE
162,1.28725E+18,#CoronavirusPandemic | Over 1.62 crore people tested for COVID-19 in India: ICMR #Coronavirus,0,0,Sun Jul 26 05:11:00 +0000 2020,other,CoronavirusPandemic   Over      crore people tested for COVID    in India  ICMR  Coronavirus,0,1,0,0,NEUTRAL
166,1.28725E+18,"RT Two must-read pieces in today, both on nursing. From counsellor to handling the most rigorous schedule - cov…",0,4,Sun Jul 26 05:09:57 +0000 2020,other,Two must read pieces in today  both on nursing  From counsellor to handling the most rigorous schedule   cov,-0.3384,0.883,0.117,0,NEGATIVE
167,1.28725E+18,"Your Wait is Over! India’s Biggest Online SME Meet by Marg ERP Ltd on ""How to Run Your Business during COVID-19"" wi…",0,0,Sun Jul 26 05:09:46 +0000 2020,other,Your Wait is Over  India s Biggest Online SME Meet by Marg ERP Ltd on  How to Run Your Business during COVID     wi,0,1,0,0,NEUTRAL
170,1.28725E+18,Apke mp cm se lekar health minister up k tak covid-19 positive ho gye kya ab bhi Exams…,1,0,Sun Jul 26 05:08:32 +0000 2020,@DrRPNishank,Apke mp cm se lekar health minister up k tak covid    positive ho gye kya ab bhi Exams,0.5574,0.816,0,0.184,POSITIVE
173,1.28725E+18,"India tests 4.2 L samples for Covid-19 in 24 hrs, testing capacity at all-time high via Na…",0,0,Sun Jul 26 05:08:00 +0000 2020,other,India tests     L samples for Covid    in    hrs  testing capacity at all time high via Na,0,1,0,0,NEUTRAL
174,1.28725E+18,"RT Mental health: ‘Spike in self-harm, suicide ideation amid Covid-19 pandemic’ Mental health experts are dealing with an i…",0,16,Sun Jul 26 05:07:52 +0000 2020,other,Mental health   Spike in self harm  suicide ideation amid Covid    pandemic  Mental health experts are dealing with an i,-0.8402,0.68,0.32,0,NEGATIVE
177,1.28725E+18,What's China Wanting to do to the World Next! Is Covid 19 Impact not enough already. Article at The Hindu,0,0,Sun Jul 26 05:07:32 +0000 2020,other,What s China Wanting to do to the World Next  Is Covid    Impact not enough already  Article at The Hindu,0,1,0,0,NEUTRAL
181,1.28725E+18,"India’s Covid-19 recovery rate now at 63.54%, case fatality count marks sharp dip via NaMo…",0,0,Sun Jul 26 05:06:36 +0000 2020,other,India s Covid    recovery rate now at         case fatality count marks sharp dip via NaMo,-0.6705,0.743,0.257,0,NEGATIVE
183,1.28725E+18,"RT Sardar Patel Covid Care Centre and Hospital, Radha Soami Chhatarpur, New Delhi. Total 196 persons have been discharged a…",0,33,Sun Jul 26 05:06:30 +0000 2020,other,Sardar Patel Covid Care Centre and Hospital  Radha Soami Chhatarpur  New Delhi  Total     persons have been discharged a,0.4939,0.842,0,0.158,POSITIVE
185,1.28725E+18,"The Biggest Scam ever! ""COVID-19 is not health emergency"" - Health Ministry🙄",3,0,Sun Jul 26 05:06:26 +0000 2020,other,The Biggest Scam ever   COVID    is not health emergency    Health Ministry,-0.3645,0.605,0.249,0.147,NEGATIVE
